issue,terriss,riveriss,mariss,region,claim,dyads,begclaim,endclaim,duration,icowsal,icowsalc,salold,attemptsp,attemptst,attbilat,att3non,att3bind,midsiss,midsfat,warsiss,maxhost,maxfatal,version
1,1,0,0,2,244,1,186607,186608,1,7,2,8,1,1,0,1,0,0,0,0,0,0,1.1
1,1,0,0,2,246,1,187011,187011,1,8,3,9,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,2,248,1,186607,186609,1,5,2,6,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,2,250,1,188401,189007,7,8,3,7,4,4,4,0,0,0,0,0,0,0,1.1
1,1,0,0,2,252,3,186401,192004,6,9,3,10,9,11,5,4,0,2,2,2,5,6,1.1
1,1,0,0,2,254,1,195505,197212,18,11,3,12,3,3,2,1,0,0,0,0,0,0,1.1
1,1,0,0,2,256,2,194803,197212,39,9,3,10,14,20,6,8,0,6,1,0,4,1,1.1
1,1,0,0,2,258,1,184803,186610,19,7,2,8,7,10,3,4,0,3,3,3,5,6,1.1
1,1,0,0,2,260,1,185805,186010,3,7,2,8,0,1,0,0,0,1,1,1,5,5,1.1
1,1,0,0,2,262,1,184803,186003,13,6,2,7,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,2,264,1,184803,186003,13,6,2,7,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,2,266,1,186606,191909,54,9,3,10,6,7,0,6,0,1,1,1,5,6,1.1
1,1,0,0,2,268,1,183108,183112,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,2,270,1,185106,185511,5,8,3,9,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,2,272,1,194505,194702,3,9,3,8,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,2,274,2,185407,192106,7,12,3,10,7,7,3,3,1,0,0,0,0,0,1.1
1,1,0,0,2,276,1,185407,185603,3,9,3,9,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,2,278,5,191804,194702,17,11,3,11,12,16,7,5,0,4,3,3,5,6,1.1
2,0,1,0,1,1003,1,192503,193207,8,6.5,2,7,1,1,1,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1006,2,190211,190901,14,4.5,2,5.5,6,6,6,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1009,2,197312,200199,17,6.5,2,7,6,6,5,1,0,0,0,0,0,0,1.1
2,0,1,0,1,1010,1,199703,200199,5,6.5,2,7,5,5,5,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1012,1,198904,199204,4,3,1,4,0,0,0,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1015,1,195101,196101,11,7.5,2,8,6,6,3,3,0,0,0,0,0,0,1.1
2,0,1,0,1,1018,1,197201,198403,13,5.5,2,6,1,1,0,1,0,0,0,0,0,0,1.1
2,0,1,0,1,1021,1,199804,200199,4,4,1,4,1,1,1,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1024,4,190111,199910,68,8,3,8.5,18,18,10,8,0,0,0,0,0,0,1.1
2,0,1,0,1,1027,3,190001,200103,30,9,3,9,10,10,8,2,0,0,0,0,0,0,1.1
2,0,1,0,1,1040,1,198206,200199,20,5,2,6,13,14,10,3,0,1,0,0,3,0,1.1
2,0,1,0,1,1100,1,199207,199208,1,5,2,6,0,0,0,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1103,1,199808,199808,1,5,2,6,0,0,0,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1106,2,197203,197910,15,7.5,2,8,5,5,5,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1107,1,194101,196701,27,5,2,5.5,4,4,3,1,0,0,0,0,0,0,1.1
2,0,1,0,1,1109,1,198012,198300,4,6,2,6.5,0,0,0,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1115,1,190001,197311,74,9,3,9.5,5,8,5,0,0,3,0,0,4,0,1.1
2,0,1,0,1,1118,1,192106,192205,2,3,1,4,1,1,1,0,0,0,0,0,0,0,1.1
2,0,1,0,1,1121,1,193907,197803,40,3.5,1,4.5,12,13,8,4,0,1,0,0,3,0,1.1
2,0,1,0,1,1124,1,199912,200199,3,2,1,3,2,2,2,0,0,0,0,0,0,0,1.1
2,0,1,0,2,1200,1,193005,193706,8,8,3,8,1,1,0,0,1,0,0,0,0,0,1.1
2,0,1,0,2,1203,3,191806,198212,10,8,3,8,3,3,1,2,0,0,0,0,0,0,1.1
2,0,1,0,2,1206,1,191901,193204,14,7,2,7.5,12,12,8,4,0,0,0,0,0,0,1.1
2,0,1,0,2,1209,1,191700,195711,41,2.5,1,3.5,8,8,6,1,1,0,0,0,0,0,1.1
2,0,1,0,2,1212,1,199304,200001,8,9,3,9,6,6,6,0,0,0,0,0,0,0,1.1
2,0,1,0,4,1700,10,195103,198908,42,3.5,1,4.5,4,6,0,0,4,2,1,0,4,2,1.1
2,0,1,0,4,1703,3,196401,196608,9,3,1,4,1,2,0,0,1,1,1,0,4,1,1.1
2,0,1,0,4,1706,1,200103,200103,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1.1
2,0,1,0,4,1709,4,195303,199805,32,4,1,5,8,8,0,8,0,0,0,0,0,0,1.1
2,0,1,0,4,1712,3,196906,199904,21,3,1,4,15,15,6,9,0,0,0,0,0,0,1.1
2,0,1,0,4,1715,5,198707,200005,13,4,1,5,3,3,3,0,0,0,0,0,0,0,1.1
2,0,1,0,4,1718,10,196400,200199,71,10,3,10.5,24,26,17,7,0,2,0,0,3,0,1.1
2,0,1,0,4,1721,1,198811,200199,14,10,3,10.5,3,3,1,2,0,0,0,0,0,0,1.1
2,0,1,0,4,1724,1,199905,200199,3,8,3,8.5,0,0,0,0,0,0,0,0,0,0,1.1
2,0,1,0,4,1727,6,192108,199000,67,6,2,6.5,6,15,3,3,0,9,5,1,5,6,1.1
2,0,1,0,4,1730,3,195600,200199,48,5.5,2,5.5,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2002,1,197703,200199,25,10,3,8,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2004,2,190001,200199,102,10,3,10,2,3,1,0,1,1,0,0,4,0,1.1
3,0,0,1,1,2006,1,196908,200199,33,7,2,5,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2008,1,192001,200199,82,8,3,6,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2010,1,191401,199907,86,8,3,6,11,15,11,0,0,4,0,0,4,0,1.1
3,0,0,1,1,2012,1,197611,198410,9,10,3,8,6,6,5,0,1,0,0,0,0,0,1.1
3,0,0,1,1,2014,1,197003,200199,32,2,1,4,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2016,3,194701,200006,69,10,3,8,6,7,6,0,0,1,0,0,4,0,1.1
3,0,0,1,1,2018,1,192108,193512,15,1,1,1,3,3,2,1,0,0,0,0,0,0,1.1
3,0,0,1,1,2020,1,190001,200199,102,7,2,5,8,10,8,0,0,2,0,0,4,0,1.1
3,0,0,1,1,2022,1,196502,199012,26,3,1,3,5,6,5,0,0,1,0,0,4,0,1.1
3,0,0,1,1,2024,1,196502,199012,26,3,1,3,5,5,5,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2026,1,197101,200199,31,8,3,6,15,17,12,1,2,2,0,0,4,0,1.1
3,0,0,1,1,2028,1,197101,200199,31,6,2,4,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2030,1,196906,197605,8,3,1,3,3,3,3,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2032,1,193801,193802,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2034,2,199409,199504,4,7,2,5,1,2,0,1,0,1,0,0,4,0,1.1
3,0,0,1,1,2040,1,196203,200199,40,3,1,3,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2042,1,197704,200199,25,3,1,5,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2044,1,196403,200199,38,5,2,3,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2046,4,199708,200199,20,7,2,5,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2048,3,190001,200199,272,8,3,8,14,22,6,6,2,8,0,0,4,0,1.1
3,0,0,1,1,2050,1,199912,200199,3,8,3,6,7,9,0,6,1,2,0,0,4,0,1.1
3,0,0,1,1,2052,4,197502,200199,50,6,2,6,11,11,4,7,0,0,0,0,0,0,1.1
3,0,0,1,1,2054,1,195612,197606,21,6,2,4,0,1,0,0,0,1,1,0,4,1,1.1
3,0,0,1,1,2056,2,195009,200199,104,7,2,5,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2058,1,197912,200199,23,5,2,3,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2060,1,195901,199506,37,9,3,7,0,1,0,0,0,1,0,0,4,0,1.1
3,0,0,1,1,2062,1,190001,197209,73,5,2,5,2,2,2,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2064,1,197912,200199,23,8,3,8,2,2,2,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2066,2,198201,200199,25,8,3,8,3,3,3,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2100,2,195208,200199,100,5,2,5,10,18,3,7,0,8,1,0,4,1,1.1
3,0,0,1,1,2102,3,194708,200199,165,7,2,5,10,15,4,6,0,5,0,0,4,0,1.1
3,0,0,1,1,2104,1,195208,198610,35,5,2,5,6,7,0,6,0,1,0,0,4,0,1.1
3,0,0,1,1,2106,1,197003,199301,24,5,2,5,2,2,2,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2108,1,196201,200199,40,10,3,8,4,7,4,0,0,3,0,0,4,0,1.1
3,0,0,1,1,2110,2,195100,200199,52,8,3,8,2,2,0,2,0,0,0,0,0,0,1.1
3,0,0,1,1,2112,1,195501,200199,47,8,3,8,21,25,18,3,0,4,0,0,4,0,1.1
3,0,0,1,1,2114,3,190001,200199,104,8,3,8,9,10,7,2,0,1,0,0,3,0,1.1
3,0,0,1,1,2118,1,196301,196401,2,7,2,5,2,3,2,0,0,1,0,0,3,0,1.1
3,0,0,1,1,2120,1,190001,198505,86,12,3,12,12,17,7,4,1,5,0,0,4,0,1.1
3,0,0,1,1,2122,2,196702,198607,40,5,2,3,2,5,2,0,0,3,0,0,4,0,1.1
3,0,0,1,1,2124,2,196301,200199,78,7,2,5,0,0,0,0,0,0,0,0,0,0,1.1
3,0,0,1,1,2126,1,196612,200199,36,9,3,9,57,61,34,23,0,4,1,1,5,6,1.1
3,0,0,1,1,2128,2,194011,200199,124,7,2,5,4,9,0,4,0,5,0,0,4,0,1.1
3,0,0,1,2,2202,1,197304,198407,12,6,2,6,12,12,0,10,2,0,0,0,0,0,1.1
3,0,0,1,2,2204,2,195203,195611,9,7,2,5,3,3,2,1,0,0,0,0,0,0,1.1
3,0,0,1,2,2206,7,195803,196103,28,7,2,5,16,18,2,14,0,2,0,0,4,0,1.1
3,0,0,1,2,2208,2,197109,197310,6,7,2,5,13,14,9,2,2,1,1,0,4,1,1.1
3,0,0,1,2,2210,2,197507,197612,3,7,2,5,9,10,6,3,0,1,0,0,4,0,1.1
3,0,0,1,2,2212,2,195806,199711,29,9,3,7,5,6,5,0,0,1,0,0,4,0,1.1
3,0,0,1,2,2214,1,195806,199701,40,8,3,6,1,3,0,0,1,2,0,0,4,0,1.1
3,0,0,1,2,2216,1,197806,198311,6,8,3,6,3,3,2,1,0,0,0,0,0,0,1.1
3,0,0,1,2,2218,1,192710,198611,60,9,3,7,2,3,2,0,0,1,0,0,3,0,1.1
3,0,0,1,2,2220,2,197602,198411,10,10,3,8,2,2,1,0,1,0,0,0,0,0,1.1
3,0,0,1,2,2222,1,197601,200199,26,5,2,3,6,7,4,2,0,1,0,0,4,0,1.1
3,0,0,1,2,2224,2,196605,197101,12,10,3,8,4,4,0,2,2,0,0,0,0,0,1.1
3,0,0,1,2,2226,1,198209,198209,1,8,3,6,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,2,2228,1,190506,190910,5,4,1,4,1,1,0,0,1,0,0,0,0,0,1.1
3,0,0,1,2,2230,1,195901,197707,19,5,2,5,1,1,0,0,1,0,0,0,0,0,1.1
3,0,0,1,2,2232,1,192904,192907,1,6,2,8,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,2,2234,1,198410,200199,18,7,2,5,2,4,2,0,0,2,0,0,4,0,1.1
3,0,0,1,2,2236,1,197707,198412,8,8,3,8,2,2,0,2,0,0,0,0,0,0,1.1
3,0,0,1,2,2238,1,197908,200199,23,4,1,4,3,3,1,2,0,0,0,0,0,0,1.1
3,0,0,1,2,2240,1,191106,195112,41,5,2,5,4,4,3,0,1,0,0,0,0,0,1.1
3,0,0,1,2,2242,1,196004,196009,1,5,2,5,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,2,2244,3,197409,197501,6,7,2,7,3,3,0,3,0,0,0,0,0,0,1.1
3,0,0,1,2,2246,1,192811,200199,74,5,2,3,8,8,7,1,0,0,0,0,0,0,1.1
3,0,0,1,2,2248,1,192708,200004,74,7,2,5,2,2,1,1,0,0,0,0,0,0,1.1
3,0,0,1,2,2250,1,197702,198811,12,8,3,6,2,2,1,1,0,0,0,0,0,0,1.1
3,0,0,1,2,2300,1,198501,198905,5,12,3,10,1,1,1,0,0,0,0,0,0,0,1.1
3,0,0,1,2,2340,1,194505,194912,5,3,1,3,2,3,0,1,1,1,1,0,4,2,1.1
3,0,0,1,2,2352,1,196404,200199,38,12,3,12,12,25,3,8,1,13,2,0,4,1,1.1
3,0,0,1,2,2354,1,199102,200199,11,9,3,7,13,15,10,3,0,2,0,0,4,0,1.1
3,0,0,1,2,2360,6,195007,200199,81,10,3,10,31,32,25,6,0,1,0,0,4,0,1.1
3,0,0,1,2,2362,3,198301,200199,31,8,3,8,15,16,15,0,0,1,0,0,4,0,1.1
3,0,0,1,2,2366,3,197403,200199,32,12,3,10,13,13,11,2,0,0,0,0,0,0,1.1
3,0,0,1,2,2370,1,199407,200199,8,4,1,4,2,2,2,0,0,0,0,0,0,0,1.1
3,0,0,1,2,2380,6,199112,200199,66,8,3,6,13,14,5,8,0,1,0,0,3,0,1.1
3,0,0,1,2,2382,1,199109,199903,9,4,1,4,8,8,7,1,0,0,0,0,0,0,1.1
3,0,0,1,2,2384,1,199109,199607,6,6,2,6,9,9,7,2,0,0,0,0,0,0,1.1
3,0,0,1,2,2386,1,199106,200199,11,12,3,12,4,4,3,1,0,0,0,0,0,0,1.1
3,0,0,1,2,2388,1,199206,199507,4,5,2,5,2,2,1,1,0,0,0,0,0,0,1.1
3,0,0,1,2,2390,1,199401,200199,8,3,1,3,7,7,4,3,0,0,0,0,0,0,1.1
3,0,0,1,2,2392,1,199106,200199,11,4,1,6,4,4,1,3,0,0,0,0,0,0,1.1
3,0,0,1,2,2394,7,191102,191112,7,3,1,3,0,0,0,0,0,0,0,0,0,0,1.1
